Market cap,,,,,,0,0,0,53.87,83.83,104.14,95.37,98.33
ROIC,,,,,,,,1.19,-3.22,-32.32,-3.28,0.74,0.4
Price,-,-,-,-,-,0,0,0,34.16,52.81,65.44,59.24,60.51
Outcome short,,,,,,,,,,0.55,0.24,-0.09,0.02
Outcome long,,,,,,,,,,,0.92,0.12,-0.08
,,,,,,,,,,,,,
Overvaluation (FCF),89%,95%,83%,71%,80%,109%,112%,106%,166%,171%,113%,78%,64%
Overvaluation (Earnings),127%,132%,125%,99%,105%,121%,117%,108%,163%,227%,323%,152%,108%
FCF/PRICE,322.78,340.14,346.58,433.75,423.58,323.1,291.26,289.71,243.38,223.16,227.16,312.96,321.77
P/E,30.24,19.49,18.14,24.45,13.48,13.81,14.67,13.83,33.21,66.64,-150.78,12.78,12.45
Market cap,7.87,8.61,7.68,5.78,6.44,8.51,9.73,9.11,14.05,17.15,19.65,17.78,15.45
ROIC,-2.29,-3.88,-4.65,-2.89,-8.9,-7.16,-3.28,10.47,5.29,-4.25,3.91,2.41,6.44
Price,18.75,21.93,22.67,18.83,22.38,30.66,37.27,38.71,61.1,77.3,94.99,80.78,78.57
Outcome short,,0.17,0.03,-0.17,0.19,0.37,0.22,0.04,0.58,0.27,0.23,-0.15,-0.03
Outcome long,,,0.21,-0.14,-0.01,0.63,0.67,0.26,0.64,1,0.55,0.05,-0.17
,,,,,,,,,,,,,
Overvaluation (FCF),88%,68%,76%,88%,79%,74%,61%,74%,82%,132%,207%,327%,340%
Overvaluation (Earnings),112%,92%,107%,116%,101%,84%,73%,81%,92%,114%,160%,161%,178%
FCF/PRICE,305.81,392.98,512.71,338.79,453.87,505.21,753.16,575.47,423.74,248.03,232.5,204.54,212.49
P/E,10.83,8.74,20.81,11.63,8.19,7,7.74,8.94,8.42,23.66,30.21,15.38,43.03
Market cap,34.82,29.05,35.83,41.65,39.63,40.07,35.46,42.24,49.41,59.34,67.89,66.14,57.66
ROIC,2.38,9.84,3.75,1.27,4.69,9.59,1.65,2.94,24.67,-1.51,-0.98,11.28,16.11
Price,22.32,18.87,23.31,26.87,25.54,25.83,22.92,26.9,31.34,38.33,45.02,44.91,39.16
Outcome short,,-0.15,0.24,0.15,-0.05,0.01,-0.11,0.17,0.17,0.22,0.17,0,-0.13
Outcome long,,,0.04,0.42,0.1,-0.04,-0.1,0.04,0.37,0.42,0.44,0.17,-0.13
,,,,,,,,,,,,,
Overvaluation (FCF),109%,116%,131%,112%,80%,81%,104%,111%,124%,134%,146%,152%,146%
Overvaluation (Earnings),108%,119%,134%,115%,84%,87%,114%,114%,117%,121%,126%,137%,131%
FCF/PRICE,202.1,194.63,168.95,165.57,186.41,179.44,147.54,131.64,112.95,100.64,90.51,77.21,73.54
P/E,15.64,18.65,20.92,15.61,13.52,13.76,15.81,16.04,14.66,17.93,19.8,17.83,18.72
Market cap,20.98,24.49,31.34,30.24,23.53,25.25,37.02,41.69,48.14,53.22,61.28,73.9,81.77
ROIC,14.35,-11.34,-7.38,4.38,5.83,-16.47,15.61,20.07,10.35,3.4,4.26,5.54,8.17
Price,24.4,29.66,41.21,41.36,33,36.6,53.59,61.6,72.25,81.06,94.27,115,120.74
Outcome short,,0.22,0.39,0,-0.2,0.11,0.46,0.15,0.17,0.12,0.16,0.22,0.05
Outcome long,,,0.69,0.39,-0.2,-0.12,0.62,0.68,0.35,0.32,0.3,0.42,0.28
,,,,,,,,,,,,,
Overvaluation (FCF),161%,142%,150%,125%,64%,91%,75%,71%,91%,151%,210%,271%,271%
Overvaluation (Earnings),284%,233%,279%,,135%,211%,137%,126%,130%,256%,404%,561%,487%
FCF/PRICE,14.91,14.73,16.87,20.23,32.93,24.08,38.42,45.62,36.75,26.87,33.85,24.2,23.86
P/E,33.27,27.4,48.39,34.83,14.57,48.05,18.91,16.62,20.85,101.39,139.02,73.76,53.58
Market cap,14.45,19.29,23.58,24.08,12.18,18.33,14.14,13.51,17.1,28.18,36.65,45.53,52.22
ROIC,9.7,7.36,0.78,1.1,93.59,2.09,1.99,11.08,5.61,4.14,-4.91,-21.7,4.82
Price,30.28,32.61,40.16,42.14,23.16,35.08,27.8,27.42,34.61,56.78,73.68,91.46,105.02
Outcome short,,0.08,0.23,0.05,-0.45,0.51,-0.21,-0.01,0.26,0.64,0.3,0.24,0.15
Outcome long,,,0.33,0.29,-0.42,-0.17,0.2,-0.22,0.24,1.07,1.13,0.61,0.43
,,,,,,,,,,,,,
Overvaluation (FCF),120%,104%,102%,68%,82%,99%,98%,97%,119%,115%,144%,142%,140%
Overvaluation (Earnings),,128%,117%,71%,93%,110%,115%,105%,130%,132%,160%,161%,180%
FCF/PRICE,23.55,15.43,16.38,26.64,15.08,19.11,14.36,13.42,11.57,14.29,18.52,12.21,10.55
P/E,32.2,21.5,22.31,8,30.15,14.45,13.01,18.37,23.04,25.06,27.33,23.22,26.88
Market cap,12.76,10.88,10.15,6.2,7.48,10.06,10.9,11.69,15.32,15.59,18.76,19.75,19.92
ROIC,-3.49,-17.98,6.2,-10.83,-8.96,-8.23,-305.61,11.86,-70.64,1.04,1.25,-17.04,14.22
Price,34.78,31.82,33.46,21.36,25.63,33.67,36.57,39.12,49.3,49.62,60.12,64.1,74.2
Outcome short,,-0.09,0.05,-0.36,0.2,0.31,0.09,0.07,0.26,0.01,0.21,0.07,0.16
Outcome long,,,-0.04,-0.33,-0.23,0.58,0.43,0.16,0.35,0.27,0.22,0.29,0.23
,,,,,,,,,,,,,
Overvaluation (FCF),102%,100%,192%,154%,199%,65%,77%,83%,111%,105%,118%,73%,97%
Overvaluation (Earnings),127%,125%,168%,96%,83%,61%,60%,73%,79%,124%,148%,98%,119%
FCF/PRICE,406.4,251.03,149.34,237.78,433.21,331.9,332.03,438.41,495.46,360.78,300.04,368.18,292.47
P/E,21.86,13.45,20.64,10.03,12.1,10.22,8.61,9.63,16.04,21.49,15.16,12.31,16.56
Market cap,10.81,13.91,27.07,21.3,21.74,17.19,16.5,20.38,19.45,28.6,33.12,21.82,25.06
ROIC,0.74,0.84,0.59,0.33,-1.02,-1.04,-0.19,0.17,-1.65,6.81,2.12,12.74,-10.79
Price,16.61,21.38,41.28,33.09,33.75,26.77,25.82,30.15,29.52,43.4,52,36.68,43.55
Outcome short,,0.29,0.93,-0.2,0.02,-0.21,-0.04,0.17,-0.02,0.47,0.2,-0.29,0.19
Outcome long,,,1.49,0.55,-0.18,-0.19,-0.23,0.13,0.14,0.44,0.76,-0.15,-0.16
,,,,,,,,,,,,,
Overvaluation (FCF),98%,106%,119%,97%,81%,84%,110%,107%,125%,137%,150%,162%,171%
Overvaluation (Earnings),121%,113%,125%,97%,81%,87%,112%,116%,135%,142%,158%,168%,177%
FCF/PRICE,86.41,74.82,42.12,471.75,603.29,567.73,579.68,475.92,409.42,343.75,337.95,390.2,275.68
P/E,25.05,13.34,20.84,15.71,11.82,14.72,18.34,17.32,20.9,22.15,26.3,28.27,29.02
Market cap,19.19,20.06,22.58,18.76,15.6,17.38,22.68,23.64,29.15,33.4,37.42,41.87,43.73
ROIC,0.49,0.81,-21.1,-0.22,-0.2,12.91,2.43,5.29,-20.14,-2.36,-2.92,9.37,10.11
Price,33.07,35.74,42.52,36.76,31.09,35.32,46.21,48.83,60.41,69.55,80.23,91.87,96.92
Outcome short,,0.08,0.19,-0.14,-0.15,0.14,0.31,0.06,0.24,0.15,0.15,0.15,0.05
Outcome long,,,0.29,0.03,-0.27,-0.04,0.49,0.38,0.31,0.42,0.33,0.32,0.21
,,,,,,,,,,,,,
Overvaluation (FCF),202%,165%,199%,176%,83%,106%,77%,84%,103%,161%,152%,129%,97%
Overvaluation (Earnings),,148%,197%,194%,112%,144%,131%,152%,157%,231%,215%,186%,136%
FCF/PRICE,11.81,29.45,14.05,17.68,41.89,32.98,54.37,37.13,34.77,17.16,22.04,23.16,31.7
P/E,38.92,21.71,26.93,36.94,16.62,25.94,20.41,19.05,22,35.44,36.35,31.25,24.76
Market cap,3.91,2.86,4.98,5.91,3,3.37,3.65,5.17,7.18,13.55,18.25,16.84,13.56
ROIC,0.75,1,0.85,1.02,-10.44,3.14,0.76,1.02,1.55,0.99,0.45,0.5,2.47
Price,47.48,35.6,62.47,74.99,46.53,64.59,71.03,103.84,144.76,262.93,286.05,276.57,234.69
Outcome short,,-0.25,0.75,0.2,-0.38,0.39,0.1,0.46,0.39,0.82,0.09,-0.03,-0.15
Outcome long,,,0.32,1.11,-0.26,-0.14,0.53,0.61,1.04,1.53,0.98,0.05,-0.18
,,,,,,,,,,,,,
Overvaluation (FCF),232%,232%,179%,123%,47%,80%,133%,116%,114%,143%,135%,126%,232%
Overvaluation (Earnings),248%,220%,191%,143%,63%,113%,235%,186%,181%,252%,305%,292%,750%
FCF/PRICE,15.95,12.02,13.13,17.75,48.32,29.59,21.38,26.5,26.84,20.91,25.92,33.98,20.57
P/E,32.63,30.07,36.74,27.99,20.7,95.16,45.2,29.51,36.34,51.25,154.31,-32.07,-48.3
Market cap,6.68,9.34,10.11,9.46,3.81,5.45,9.23,8.13,8.69,11.62,12.26,10.51,16.83
ROIC,-3.07,4.12,4.16,38.03,8.87,6.61,308.95,10.27,2.29,3.84,9.46,3.53,-21.32
Price,29.37,40.59,43.72,41.15,16.56,23.79,40.68,36,38.88,51.25,54.01,46.82,75.83
Outcome short,,0.38,0.08,-0.06,-0.6,0.44,0.71,-0.12,0.08,0.32,0.05,-0.13,0.62
Outcome long,,,0.49,0.01,-0.62,-0.42,1.46,0.51,-0.04,0.42,0.39,-0.09,0.4
,,,,,,,,,,,,,
Overvaluation (FCF),214%,188%,217%,227%,141%,127%,100%,97%,84%,148%,216%,423%,1393%
Overvaluation (Earnings),113%,112%,121%,119%,76%,64%,83%,105%,120%,138%,173%,131%,134%
FCF/PRICE,35.8,29.02,40.98,53.53,92.51,61.22,66.97,53.88,87.43,68.06,48.75,48.42,45.83
P/E,17.65,16.98,20.19,18.19,11.55,10.05,48.6,15.41,-7.66,30.64,19.22,16.69,18.65
Market cap,9.79,10.49,11.1,11.29,7.06,6.64,6.78,8.04,7.45,8.77,11.19,10.49,12.13
ROIC,0.13,0.25,0.53,0.23,-0.28,-0.18,0.23,7.8,-1.27,-0.57,0.74,0,-0.21
Price,50.14,51.24,53.73,54.21,33.26,27.95,28.19,33.13,30.72,36.16,46.13,43.23,49.99
Outcome short,,0.02,0.05,0.01,-0.39,-0.16,0.01,0.18,-0.07,0.18,0.28,-0.06,0.16
Outcome long,,,0.07,0.06,-0.38,-0.48,-0.15,0.19,0.09,0.09,0.5,0.2,0.08
,,,,,,,,,,,,,
Overvaluation (FCF),96%,94%,110%,,,,1572%,213%,233%,233%,320%,404%,491%
Overvaluation (Earnings),162%,145%,138%,147%,84%,84%,87%,95%,99%,105%,135%,117%,144%
FCF/PRICE,145.31,147.21,128.14,110.85,189.21,153.12,181.16,160.03,159.86,130.77,131.2,121.99,130.26
P/E,12.49,17.83,16.83,17.12,9.73,11.75,14.22,10.28,16.42,15.38,18.18,13.97,41.76
Market cap,13.59,14.6,16.89,18.64,13.51,16.63,17.3,19.97,20.73,22.8,29.72,28.61,29.37
ROIC,0.78,2.54,-0.11,-0.64,-0.61,-0.48,-0.31,0.2,0.47,0.42,0.33,0.2,-0.01
Price,34.34,37.09,42.58,46.56,33.28,34.79,35.98,41.31,42.68,46.74,60.72,58.27,59.72
Outcome short,,0.08,0.15,0.09,-0.29,0.05,0.03,0.15,0.03,0.1,0.3,-0.04,0.02
Outcome long,,,0.24,0.26,-0.22,-0.25,0.08,0.19,0.19,0.13,0.42,0.25,-0.02
,,,,,,,,,,,,,
Overvaluation (FCF),118%,111%,128%,117%,46%,,71%,86%,80%,119%,104%,74%,
Overvaluation (Earnings),,140%,209%,195%,72%,92%,114%,202%,1139%,726%,261%,150%,139%
FCF/PRICE,357.28,333.29,229.13,256.29,628.88,497.45,662.15,712.67,777.48,527.43,508.13,723.72,491.23
P/E,29.72,19.07,59.57,-152.79,4.53,13.58,"1,218.00",169.14,-8.84,96.73,12.99,21.75,-29.08
Market cap,8.89,10.38,14.71,14.34,5.46,8.89,9.59,9.06,7.96,10.77,9.69,6.38,7.67
ROIC,-0.1,7.1,1.16,0.43,0.05,-0.42,0.18,0.3,0.88,-0.58,-1.08,-0.12,1.62
Price,13.67,15.83,22.04,21.39,8.24,13.31,12.18,11.84,10.7,14.51,13.77,9.57,11.63
Outcome short,,0.16,0.39,-0.03,-0.61,0.62,-0.08,-0.03,-0.1,0.36,-0.05,-0.31,0.22
Outcome long,,,0.61,0.35,-0.63,-0.38,0.48,-0.11,-0.12,0.23,0.29,-0.34,-0.16
,,,,,,,,,,,,,
Overvaluation (FCF),449%,394%,236%,199%,77%,66%,59%,73%,81%,107%,125%,131%,125%
Overvaluation (Earnings),202%,206%,147%,168%,76%,82%,76%,92%,93%,123%,139%,155%,167%
FCF/PRICE,224.79,161.51,164.5,132.94,265.08,263.72,286.36,202,182.42,181.85,172.88,143.19,149.23
P/E,8.72,18.14,14.44,16.64,10.07,11.16,7.3,8.08,9.63,12.87,15.64,15.95,18.78
Market cap,18.28,26.72,22.28,28.65,13.14,13.66,11.73,14.75,15.17,24.84,31.07,37.79,45.47
ROIC,-0.07,0.46,0.19,0.23,-0.39,-0.38,-4,4.83,1.45,0.82,1.09,-5.88,-3.39
Price,31.19,47.16,43.18,57.73,28.5,31.7,30.51,42.19,46.31,68.59,88.83,108.12,129.57
Outcome short,,0.51,-0.08,0.34,-0.51,0.11,-0.04,0.38,0.1,0.48,0.3,0.22,0.2
Outcome long,,,0.38,0.22,-0.34,-0.45,0.07,0.33,0.52,0.63,0.92,0.58,0.46
,,,,,,,,,,,,,
Overvaluation (FCF),132%,135%,115%,136%,94%,91%,109%,,,,,,
Overvaluation (Earnings),120%,117%,97%,112%,84%,85%,93%,68%,75%,90%,76%,77%,94%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,16.26,15.9,15.59,18.92,17.5,14.5,11.47,10.5,8.69,9.88,9.4,10.24,11.39
Market cap,19.99,23.13,22.63,29.73,21.37,21.67,26.5,20.17,24.85,30.69,27.03,25.42,29.27
ROIC,0.76,2.27,27.67,1.42,0.71,0.52,0.23,0,0,0,0,0,0
Price,39.84,46.42,46,62.63,45.84,46.25,56.43,43.26,53.12,66.8,61.09,59.9,71.73
Outcome short,,0.17,-0.01,0.36,-0.27,0.01,0.22,-0.23,0.23,0.26,-0.09,-0.02,0.2
Outcome long,,,0.15,0.35,0,-0.26,0.23,-0.06,-0.06,0.54,0.15,-0.1,0.17
,,,,,,,,,,,,,
Overvaluation (FCF),109%,107%,69%,69%,64%,100%,116%,139%,170%,276%,329%,320%,171%
Overvaluation (Earnings),119%,126%,105%,107%,96%,130%,163%,187%,308%,626%,1432%,288%,70%
FCF/PRICE,7.79,7.56,26.51,16.39,18.14,26.46,15.64,30.49,31.97,19.61,20.39,26.53,41.75
P/E,26.04,26.65,-5.96,21.37,12.71,20.21,34.9,29.29,113.16,-31.88,-34.69,31.22,5.43
Market cap,3.6,3.62,2.67,2.81,2.78,4.89,6.5,7.68,10.98,29.27,68.45,123.28,72.07
ROIC,1.98,-3.76,1.5,1.71,-4.66,0.53,0.59,-215.83,0.23,0.13,0.09,0.06,0.14
Price,32.81,32.51,26.03,27.14,26.57,39.61,51.65,60.34,86,168,257.41,312.5,192.22
Outcome short,,-0.01,-0.2,0.04,-0.02,0.49,0.3,0.17,0.43,0.95,0.53,0.21,-0.38
Outcome long,,,-0.21,-0.17,0.02,0.46,0.94,0.52,0.67,1.78,1.99,0.86,-0.25
,,,,,,,,,,,,,
Overvaluation (FCF),112%,96%,95%,76%,2%,3%,7%,3%,7%,,,,
Overvaluation (Earnings),104%,97%,86%,73%,2%,3%,17%,12%,34%,63%,92%,123%,222%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,14.91,14.33,11.25,20.43,-0.03,-0.28,4.16,2.11,17.3,8.33,10.77,37.56,111.1
Market cap,142.83,148.41,156.83,123.54,3.54,3.39,6.78,44.01,52.11,74.74,77.07,73.99,66.19
ROIC,0.3,0.43,0.25,0.22,-0.21,-0.21,-0.17,-0.12,-0.12,0,0,0,0
Price,1100.25,1143.14,1205.65,976.77,26.3,25.11,48.27,23.2,35.3,51.05,56.01,61.97,64.44
Outcome short,,0.04,0.05,-0.19,-0.97,-0.05,0.92,-0.52,0.52,0.45,0.1,0.11,0.04
Outcome long,,,0.1,-0.15,-0.98,-0.97,0.84,-0.08,-0.27,1.2,0.59,0.21,0.15
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,,,,,,,
Overvaluation (Earnings),,,,,177%,180%,292%,,963%,241%,208%,201%,164%
FCF/PRICE, -   , -   , -   , -   ,71.69,31.09,18.37,38.02,27.84,16.93,10.84,10.43,7.46
P/E,30.11,-315.58,58.97,-133.58,2.92,-15.92,-23.93,-26.64,44.36,18.51,18.03,26.34,19.93
Market cap,3.66,3.63,5.42,3.34,1.02,1.85,3.04,2.77,3.94,3.78,5.44,6.26,6.44
ROIC,6.2,15.76,101.54,-3.6,0.62,0.28,0.21,0,-0.02,0.39,-4.42,-8.95,-2.89
Price,38.54,37.87,56.02,34.73,11.55,15.92,25.84,22.91,27.06,25.91,37.15,40.03,41.06
Outcome short,,-0.02,0.48,-0.38,-0.67,0.38,0.62,-0.11,0.18,-0.04,0.43,0.08,0.03
Outcome long,,,0.45,-0.08,-0.79,-0.54,1.24,0.44,0.05,0.13,0.37,0.54,0.11
,,,,,,,,,,,,,
Overvaluation (FCF),116%,126%,138%,135%,63%,57%,90%,96%,74%,116%,108%,146%,243%
Overvaluation (Earnings),144%,151%,135%,136%,61%,65%,93%,95%,78%,124%,119%,162%,148%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,12.08,12.43,9.92,12.43,7.98,8.12,15.41,7.45,6.12,10.53,10.63,39.29,9.22
Market cap,4.27,5.68,6.77,7.88,3.53,3.44,3.93,3.63,2.73,4.77,4.74,5.3,4.93
ROIC,0.9,1.79,3.99,2.05,-4.51,-2.59,0.87,1.31,0.76,0.9,0.73,4.34,-0.03
Price,30.55,43.49,55.25,66.9,30,29.48,38.52,41.06,34.7,66.37,68.43,80.54,86.41
Outcome short,,0.42,0.27,0.21,-0.55,-0.02,0.31,0.07,-0.15,0.91,0.03,0.18,0.07
Outcome long,,,0.81,0.54,-0.46,-0.56,0.28,0.39,-0.1,0.62,0.97,0.21,0.26
,,,,,,,,,,,,,
Overvaluation (FCF),111%,99%,108%,87%,101%,88%,119%,117%,116%,141%,129%,104%,119%
Overvaluation (Earnings),120%,136%,126%,108%,109%,103%,116%,131%,129%,151%,129%,106%,126%
FCF/PRICE,67.92,77.28,81.26,92.28,71.73,65.5,54.24,62.01,68.19,69.99,77.37,102.27,84.82
P/E,16.33,96.5,22.56,16.92,31.6,17.59,17.52,26.13,21.79,22.78,23.9,19.87,24.35
Market cap,2.99,2.96,2.91,2.23,2.5,2.31,3.15,3.84,4.35,6.27,7.75,7.24,9.24
ROIC,2.43,22.55,-35.73,1.07,0.9,1.04,0.95,1.15,0.8,0.7,0.28,0.4,6.72
Price,32.5,30.88,29.55,24.19,25.91,22.51,29.08,33.44,34.65,46.93,47.08,40.94,51.86
Outcome short,,-0.05,-0.04,-0.18,0.07,-0.13,0.29,0.15,0.04,0.35,0,-0.13,0.27
Outcome long,,,-0.09,-0.22,-0.12,-0.07,0.12,0.49,0.19,0.4,0.36,-0.13,0.1
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,183%,182%,296%,148%,156%,164%,207%,165%,163%
Overvaluation (Earnings),,179%,625%,407%,159%,222%,445%,261%,293%,281%,313%,172%,206%
FCF/PRICE,3.59,3.1,1.68,2.55,6.66,12.92,3.09,4.6,4.96,5.58,5.31,6.32,6.45
P/E,52.12,9.45,156.24,61.79,19.1,32.49,52.28,30.17,36.53,29.3,34.22,29.57,38.04
Market cap,1.65,3.05,8.52,5.75,2.55,4.34,8.78,5.73,7.27,8.43,11.23,9.33,11.6
ROIC,-1.92,0.16,0.19,0.53,0.76,3.96,5.01,5.16,2.2,1.31,1,0.89,12.22
Price,13.03,19.93,53.12,34.6,15.09,25.34,47.05,32.28,40.91,47.18,62.96,52.63,66.95
Outcome short,,0.53,1.67,-0.35,-0.56,0.68,0.86,-0.31,0.27,0.15,0.33,-0.16,0.27
Outcome long,,,3.08,0.74,-0.72,-0.27,2.12,0.27,-0.13,0.46,0.54,0.12,0.06
,,,,,,,,,,,,,
Overvaluation (FCF),129%,121%,169%,192%,90%,134%,162%,136%,160%,144%,118%,126%,197%
Overvaluation (Earnings),174%,156%,214%,175%,82%,112%,137%,103%,111%,100%,107%,102%,212%
FCF/PRICE,19.31,22,13.45,9.77,19.66,9.71,6.53,7.79,6.2,6.88,18.96,28.86,12.82
P/E,30.02,15.98,24.42,17.48,10.67,18.75,16.26,12.04,17.9,12.94,35.58,18.67,43.52
Market cap,1.65,1.83,3.49,4.01,2.07,3.35,5.11,4.58,5.52,5.07,4.69,6.29,9.45
ROIC,0.34,0.37,-4.08,2.34,2.29,-3.35,-109.08,3.62,1.9,2.31,-0.88,0.16,0.12
Price,19.36,19.18,35.9,41.25,22.3,36.37,55.78,51.51,62.12,63.39,60.13,56.01,84
Outcome short,,-0.01,0.87,0.15,-0.46,0.63,0.53,-0.08,0.21,0.02,-0.05,-0.07,0.5
Outcome long,,,0.85,1.15,-0.38,-0.12,1.5,0.42,0.11,0.23,-0.03,-0.12,0.4
,,,,,,,,,,,,,
Overvaluation (FCF),100%,107%,118%,,,,96%,118%,122%,175%,198%,186%,144%
Overvaluation (Earnings),700%,747%,,137%,126%,117%,134%,150%,131%,171%,194%,183%,146%
FCF/PRICE,114.37,130.53,125.17,219.79,186.13,145.64,100.54,80.43,69.65,43.06,27.96,22.43,25.66
P/E,-58.53,-168.49,-28.39,8.14,-7.82,10.29,8.3,11.27,9.8,10.25,13.52,12.27,11.59
Market cap,0.91,1.2,1.59,0.95,1.06,1.23,2.04,2.66,3.03,5.04,7.86,10.08,10.2
ROIC,1.55,-0.1,-0.74,-1.14,-1.46,-3.06,0.78,55.17,2.48,2.5,1.82,3.19,34.7
Price,8.37,8.93,9.88,6.25,7.31,8.64,14.17,18.77,21.55,36.69,59.76,80.51,82.75
Outcome short,,0.07,0.11,-0.37,0.17,0.18,0.64,0.32,0.15,0.7,0.63,0.35,0.03
Outcome long,,,0.18,-0.3,-0.26,0.38,0.94,1.17,0.52,0.95,1.77,1.19,0.38
,,,,,,,,,,,,,
Overvaluation (FCF),81%,75%,84%,68%,48%,47%,68%,72%,116%,141%,160%,128%,137%
Overvaluation (Earnings),121%,117%,103%,69%,36%,41%,84%,85%,118%,125%,117%,100%,105%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,11.39,20.48,8.3,6.72,-10.71,19.01,18.64,18.27,8.58,11.34,11.2,12.3,19.56
Market cap,35.32,34.93,40.5,29.41,17.56,16.13,16.99,13.73,19.24,24.49,29.36,23.66,26.65
ROIC,0.46,0.74,1.99,46.02,-0.6,-0.54,-2.87,-1.31,-2.03,-4.15,-0.53,-0.55,"2,414.75"
