Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
165%,206%,434.52,20.42,166.79,1.84,26.48,0.63,0.21
159%,176%,511.15,18.73,259.93,1.29,40.54,0.53,1.5
136%,151%,513.49,13.78,354.32,1.11,54.47,0.34,1.06
156%,163%,404.43,15.1,626.55,1.11,95.3,0.75,1.35
88%,94%,640.99,11.99,428.72,1.92,68.11,-0.29,0.25
110%,115%,629.76,15.62,591.02,3.89,100.75,0.48,0.06
102%,106%,730.83,11.96,615.34,3.61,110.3,0.09,0.62
94%,97%,698.86,13.6,603.25,5.34,113.05,0.02,0.12
89%,92%,706.74,13.48,596.1,24.02,111.79,-0.01,0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,0,,0,,
,,, -   ,0,,0,,
,,, -   ,0,1.19,0,,
110%,123%,198.36,10.2,53.87,-3.22,34.16,,
124%,127%,130.26,20.63,83.83,-32.32,52.81,0.55,
177%,181%,174.21,59.49,104.14,-3.28,65.44,0.24,0.92
142%,151%,183.9,18.93,95.37,0.74,59.24,-0.09,0.12
134%,135%,150.44,16.35,98.33,0.4,60.51,0.02,-0.08
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
89%,127%,322.78,30.24,7.87,-2.29,18.75,,
95%,132%,340.14,19.49,8.61,-3.88,21.93,0.17,
83%,125%,346.58,18.14,7.68,-4.65,22.67,0.03,0.21
71%,99%,433.75,24.45,5.78,-2.89,18.83,-0.17,-0.14
80%,105%,423.58,13.48,6.44,-8.9,22.38,0.19,-0.01
109%,121%,323.1,13.81,8.51,-7.16,30.66,0.37,0.63
112%,117%,291.26,14.67,9.73,-3.28,37.27,0.22,0.67
106%,108%,289.71,13.83,9.11,10.47,38.71,0.04,0.26
166%,163%,243.38,33.21,14.05,5.29,61.1,0.58,0.64
171%,227%,223.16,66.64,17.15,-4.25,77.3,0.27,1
113%,323%,227.16,-150.78,19.65,3.91,94.99,0.23,0.55
78%,152%,312.96,12.78,17.78,2.41,80.78,-0.15,0.05
64%,108%,321.77,12.45,15.45,6.44,78.57,-0.03,-0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
88%,112%,305.81,10.83,34.82,2.38,22.32,,
68%,92%,392.98,8.74,29.05,9.84,18.87,-0.15,
76%,107%,512.71,20.81,35.83,3.75,23.31,0.24,0.04
88%,116%,338.79,11.63,41.65,1.27,26.87,0.15,0.42
79%,101%,453.87,8.19,39.63,4.69,25.54,-0.05,0.1
74%,84%,505.21,7,40.07,9.59,25.83,0.01,-0.04
61%,73%,753.16,7.74,35.46,1.65,22.92,-0.11,-0.1
74%,81%,575.47,8.94,42.24,2.94,26.9,0.17,0.04
82%,92%,423.74,8.42,49.41,24.67,31.34,0.17,0.37
132%,114%,248.03,23.66,59.34,-1.51,38.33,0.22,0.42
207%,160%,232.5,30.21,67.89,-0.98,45.02,0.17,0.44
327%,161%,204.54,15.38,66.14,11.28,44.91,0,0.17
340%,178%,212.49,43.03,57.66,16.11,39.16,-0.13,-0.13
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
109%,108%,202.1,15.64,20.98,14.35,24.4,,
116%,119%,194.63,18.65,24.49,-11.34,29.66,0.22,
131%,134%,168.95,20.92,31.34,-7.38,41.21,0.39,0.69
112%,115%,165.57,15.61,30.24,4.38,41.36,0,0.39
80%,84%,186.41,13.52,23.53,5.83,33,-0.2,-0.2
81%,87%,179.44,13.76,25.25,-16.47,36.6,0.11,-0.12
104%,114%,147.54,15.81,37.02,15.61,53.59,0.46,0.62
111%,114%,131.64,16.04,41.69,20.07,61.6,0.15,0.68
124%,117%,112.95,14.66,48.14,10.35,72.25,0.17,0.35
134%,121%,100.64,17.93,53.22,3.4,81.06,0.12,0.32
146%,126%,90.51,19.8,61.28,4.26,94.27,0.16,0.3
152%,137%,77.21,17.83,73.9,5.54,115,0.22,0.42
146%,131%,73.54,18.72,81.77,8.17,120.74,0.05,0.28
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
161%,284%,14.91,33.27,14.45,9.7,30.28,,
142%,233%,14.73,27.4,19.29,7.36,32.61,0.08,
150%,279%,16.87,48.39,23.58,0.78,40.16,0.23,0.33
125%,,20.23,34.83,24.08,1.1,42.14,0.05,0.29
64%,135%,32.93,14.57,12.18,93.59,23.16,-0.45,-0.42
91%,211%,24.08,48.05,18.33,2.09,35.08,0.51,-0.17
75%,137%,38.42,18.91,14.14,1.99,27.8,-0.21,0.2
71%,126%,45.62,16.62,13.51,11.08,27.42,-0.01,-0.22
91%,130%,36.75,20.85,17.1,5.61,34.61,0.26,0.24
151%,256%,26.87,101.39,28.18,4.14,56.78,0.64,1.07
210%,404%,33.85,139.02,36.65,-4.91,73.68,0.3,1.13
271%,561%,24.2,73.76,45.53,-21.7,91.46,0.24,0.61
271%,487%,23.86,53.58,52.22,4.82,105.02,0.15,0.43
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
120%,,23.55,32.2,12.76,-3.49,34.78,,
104%,128%,15.43,21.5,10.88,-17.98,31.82,-0.09,
102%,117%,16.38,22.31,10.15,6.2,33.46,0.05,-0.04
68%,71%,26.64,8,6.2,-10.83,21.36,-0.36,-0.33
82%,93%,15.08,30.15,7.48,-8.96,25.63,0.2,-0.23
99%,110%,19.11,14.45,10.06,-8.23,33.67,0.31,0.58
98%,115%,14.36,13.01,10.9,-305.61,36.57,0.09,0.43
97%,105%,13.42,18.37,11.69,11.86,39.12,0.07,0.16
119%,130%,11.57,23.04,15.32,-70.64,49.3,0.26,0.35
115%,132%,14.29,25.06,15.59,1.04,49.62,0.01,0.27
144%,160%,18.52,27.33,18.76,1.25,60.12,0.21,0.22
142%,161%,12.21,23.22,19.75,-17.04,64.1,0.07,0.29
140%,180%,10.55,26.88,19.92,14.22,74.2,0.16,0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
102%,127%,406.4,21.86,10.81,0.74,16.61,,
100%,125%,251.03,13.45,13.91,0.84,21.38,0.29,
192%,168%,149.34,20.64,27.07,0.59,41.28,0.93,1.49
154%,96%,237.78,10.03,21.3,0.33,33.09,-0.2,0.55
199%,83%,433.21,12.1,21.74,-1.02,33.75,0.02,-0.18
65%,61%,331.9,10.22,17.19,-1.04,26.77,-0.21,-0.19
77%,60%,332.03,8.61,16.5,-0.19,25.82,-0.04,-0.23
83%,73%,438.41,9.63,20.38,0.17,30.15,0.17,0.13
111%,79%,495.46,16.04,19.45,-1.65,29.52,-0.02,0.14
105%,124%,360.78,21.49,28.6,6.81,43.4,0.47,0.44
118%,148%,300.04,15.16,33.12,2.12,52,0.2,0.76
73%,98%,368.18,12.31,21.82,12.74,36.68,-0.29,-0.15
97%,119%,292.47,16.56,25.06,-10.79,43.55,0.19,-0.16
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
98%,121%,86.41,25.05,19.19,0.49,33.07,,
106%,113%,74.82,13.34,20.06,0.81,35.74,0.08,
119%,125%,42.12,20.84,22.58,-21.1,42.52,0.19,0.29
97%,97%,471.75,15.71,18.76,-0.22,36.76,-0.14,0.03
81%,81%,603.29,11.82,15.6,-0.2,31.09,-0.15,-0.27
84%,87%,567.73,14.72,17.38,12.91,35.32,0.14,-0.04
110%,112%,579.68,18.34,22.68,2.43,46.21,0.31,0.49
107%,116%,475.92,17.32,23.64,5.29,48.83,0.06,0.38
125%,135%,409.42,20.9,29.15,-20.14,60.41,0.24,0.31
137%,142%,343.75,22.15,33.4,-2.36,69.55,0.15,0.42
150%,158%,337.95,26.3,37.42,-2.92,80.23,0.15,0.33
162%,168%,390.2,28.27,41.87,9.37,91.87,0.15,0.32
171%,177%,275.68,29.02,43.73,10.11,96.92,0.05,0.21
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
202%,,11.81,38.92,3.91,0.75,47.48,,
165%,148%,29.45,21.71,2.86,1,35.6,-0.25,
199%,197%,14.05,26.93,4.98,0.85,62.47,0.75,0.32
176%,194%,17.68,36.94,5.91,1.02,74.99,0.2,1.11
83%,112%,41.89,16.62,3,-10.44,46.53,-0.38,-0.26
106%,144%,32.98,25.94,3.37,3.14,64.59,0.39,-0.14
77%,131%,54.37,20.41,3.65,0.76,71.03,0.1,0.53
84%,152%,37.13,19.05,5.17,1.02,103.84,0.46,0.61
103%,157%,34.77,22,7.18,1.55,144.76,0.39,1.04
161%,231%,17.16,35.44,13.55,0.99,262.93,0.82,1.53
152%,215%,22.04,36.35,18.25,0.45,286.05,0.09,0.98
129%,186%,23.16,31.25,16.84,0.5,276.57,-0.03,0.05
97%,136%,31.7,24.76,13.56,2.47,234.69,-0.15,-0.18
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
232%,248%,15.95,32.63,6.68,-3.07,29.37,,
232%,220%,12.02,30.07,9.34,4.12,40.59,0.38,
179%,191%,13.13,36.74,10.11,4.16,43.72,0.08,0.49
123%,143%,17.75,27.99,9.46,38.03,41.15,-0.06,0.01
47%,63%,48.32,20.7,3.81,8.87,16.56,-0.6,-0.62
80%,113%,29.59,95.16,5.45,6.61,23.79,0.44,-0.42
133%,235%,21.38,45.2,9.23,308.95,40.68,0.71,1.46
116%,186%,26.5,29.51,8.13,10.27,36,-0.12,0.51
114%,181%,26.84,36.34,8.69,2.29,38.88,0.08,-0.04
143%,252%,20.91,51.25,11.62,3.84,51.25,0.32,0.42
135%,305%,25.92,154.31,12.26,9.46,54.01,0.05,0.39
126%,292%,33.98,-32.07,10.51,3.53,46.82,-0.13,-0.09
232%,750%,20.57,-48.3,16.83,-21.32,75.83,0.62,0.4
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
214%,113%,35.8,17.65,9.79,0.13,50.14,,
188%,112%,29.02,16.98,10.49,0.25,51.24,0.02,
217%,121%,40.98,20.19,11.1,0.53,53.73,0.05,0.07
227%,119%,53.53,18.19,11.29,0.23,54.21,0.01,0.06
141%,76%,92.51,11.55,7.06,-0.28,33.26,-0.39,-0.38
127%,64%,61.22,10.05,6.64,-0.18,27.95,-0.16,-0.48
100%,83%,66.97,48.6,6.78,0.23,28.19,0.01,-0.15
97%,105%,53.88,15.41,8.04,7.8,33.13,0.18,0.19
84%,120%,87.43,-7.66,7.45,-1.27,30.72,-0.07,0.09
148%,138%,68.06,30.64,8.77,-0.57,36.16,0.18,0.09
216%,173%,48.75,19.22,11.19,0.74,46.13,0.28,0.5
423%,131%,48.42,16.69,10.49,0,43.23,-0.06,0.2
1393%,134%,45.83,18.65,12.13,-0.21,49.99,0.16,0.08
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
96%,162%,145.31,12.49,13.59,0.78,34.34,,
94%,145%,147.21,17.83,14.6,2.54,37.09,0.08,
110%,138%,128.14,16.83,16.89,-0.11,42.58,0.15,0.24
,147%,110.85,17.12,18.64,-0.64,46.56,0.09,0.26
,84%,189.21,9.73,13.51,-0.61,33.28,-0.29,-0.22
,84%,153.12,11.75,16.63,-0.48,34.79,0.05,-0.25
1572%,87%,181.16,14.22,17.3,-0.31,35.98,0.03,0.08
213%,95%,160.03,10.28,19.97,0.2,41.31,0.15,0.19
233%,99%,159.86,16.42,20.73,0.47,42.68,0.03,0.19
233%,105%,130.77,15.38,22.8,0.42,46.74,0.1,0.13
320%,135%,131.2,18.18,29.72,0.33,60.72,0.3,0.42
404%,117%,121.99,13.97,28.61,0.2,58.27,-0.04,0.25
491%,144%,130.26,41.76,29.37,-0.01,59.72,0.02,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
118%,,357.28,29.72,8.89,-0.1,13.67,,
111%,140%,333.29,19.07,10.38,7.1,15.83,0.16,
128%,209%,229.13,59.57,14.71,1.16,22.04,0.39,0.61
117%,195%,256.29,-152.79,14.34,0.43,21.39,-0.03,0.35
46%,72%,628.88,4.53,5.46,0.05,8.24,-0.61,-0.63
,92%,497.45,13.58,8.89,-0.42,13.31,0.62,-0.38
71%,114%,662.15,"1,218.00",9.59,0.18,12.18,-0.08,0.48
86%,202%,712.67,169.14,9.06,0.3,11.84,-0.03,-0.11
80%,1139%,777.48,-8.84,7.96,0.88,10.7,-0.1,-0.12
119%,726%,527.43,96.73,10.77,-0.58,14.51,0.36,0.23
104%,261%,508.13,12.99,9.69,-1.08,13.77,-0.05,0.29
74%,150%,723.72,21.75,6.38,-0.12,9.57,-0.31,-0.34
,139%,491.23,-29.08,7.67,1.62,11.63,0.22,-0.16
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
449%,202%,224.79,8.72,18.28,-0.07,31.19,,
394%,206%,161.51,18.14,26.72,0.46,47.16,0.51,
236%,147%,164.5,14.44,22.28,0.19,43.18,-0.08,0.38
199%,168%,132.94,16.64,28.65,0.23,57.73,0.34,0.22
77%,76%,265.08,10.07,13.14,-0.39,28.5,-0.51,-0.34
66%,82%,263.72,11.16,13.66,-0.38,31.7,0.11,-0.45
59%,76%,286.36,7.3,11.73,-4,30.51,-0.04,0.07
73%,92%,202,8.08,14.75,4.83,42.19,0.38,0.33
81%,93%,182.42,9.63,15.17,1.45,46.31,0.1,0.52
107%,123%,181.85,12.87,24.84,0.82,68.59,0.48,0.63
125%,139%,172.88,15.64,31.07,1.09,88.83,0.3,0.92
131%,155%,143.19,15.95,37.79,-5.88,108.12,0.22,0.58
125%,167%,149.23,18.78,45.47,-3.39,129.57,0.2,0.46
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
132%,120%, -   ,16.26,19.99,0.76,39.84,,
135%,117%, -   ,15.9,23.13,2.27,46.42,0.17,
115%,97%, -   ,15.59,22.63,27.67,46,-0.01,0.15
136%,112%, -   ,18.92,29.73,1.42,62.63,0.36,0.35
94%,84%, -   ,17.5,21.37,0.71,45.84,-0.27,0
91%,85%, -   ,14.5,21.67,0.52,46.25,0.01,-0.26
109%,93%, -   ,11.47,26.5,0.23,56.43,0.22,0.23
,68%, -   ,10.5,20.17,0,43.26,-0.23,-0.06
,75%, -   ,8.69,24.85,0,53.12,0.23,-0.06
,90%, -   ,9.88,30.69,0,66.8,0.26,0.54
,76%, -   ,9.4,27.03,0,61.09,-0.09,0.15
,77%, -   ,10.24,25.42,0,59.9,-0.02,-0.1
,94%, -   ,11.39,29.27,0,71.73,0.2,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
109%,119%,7.79,26.04,3.6,1.98,32.81,,
107%,126%,7.56,26.65,3.62,-3.76,32.51,-0.01,
69%,105%,26.51,-5.96,2.67,1.5,26.03,-0.2,-0.21
69%,107%,16.39,21.37,2.81,1.71,27.14,0.04,-0.17
64%,96%,18.14,12.71,2.78,-4.66,26.57,-0.02,0.02
100%,130%,26.46,20.21,4.89,0.53,39.61,0.49,0.46
116%,163%,15.64,34.9,6.5,0.59,51.65,0.3,0.94
139%,187%,30.49,29.29,7.68,-215.83,60.34,0.17,0.52
170%,308%,31.97,113.16,10.98,0.23,86,0.43,0.67
276%,626%,19.61,-31.88,29.27,0.13,168,0.95,1.78
329%,1432%,20.39,-34.69,68.45,0.09,257.41,0.53,1.99
320%,288%,26.53,31.22,123.28,0.06,312.5,0.21,0.86
171%,70%,41.75,5.43,72.07,0.14,192.22,-0.38,-0.25
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
112%,104%, -   ,14.91,142.83,0.3,1100.25,,
96%,97%, -   ,14.33,148.41,0.43,1143.14,0.04,
95%,86%, -   ,11.25,156.83,0.25,1205.65,0.05,0.1
76%,73%, -   ,20.43,123.54,0.22,976.77,-0.19,-0.15
2%,2%, -   ,-0.03,3.54,-0.21,26.3,-0.97,-0.98
3%,3%, -   ,-0.28,3.39,-0.21,25.11,-0.05,-0.97
7%,17%, -   ,4.16,6.78,-0.17,48.27,0.92,0.84
3%,12%, -   ,2.11,44.01,-0.12,23.2,-0.52,-0.08
7%,34%, -   ,17.3,52.11,-0.12,35.3,0.52,-0.27
,63%, -   ,8.33,74.74,0,51.05,0.45,1.2
,92%, -   ,10.77,77.07,0,56.01,0.1,0.59
,123%, -   ,37.56,73.99,0,61.97,0.11,0.21
,222%, -   ,111.1,66.19,0,64.44,0.04,0.15
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,, -   ,30.11,3.66,6.2,38.54,,
,, -   ,-315.58,3.63,15.76,37.87,-0.02,
,, -   ,58.97,5.42,101.54,56.02,0.48,0.45
,, -   ,-133.58,3.34,-3.6,34.73,-0.38,-0.08
,177%,71.69,2.92,1.02,0.62,11.55,-0.67,-0.79
,180%,31.09,-15.92,1.85,0.28,15.92,0.38,-0.54
,292%,18.37,-23.93,3.04,0.21,25.84,0.62,1.24
,,38.02,-26.64,2.77,0,22.91,-0.11,0.44
,963%,27.84,44.36,3.94,-0.02,27.06,0.18,0.05
,241%,16.93,18.51,3.78,0.39,25.91,-0.04,0.13
,208%,10.84,18.03,5.44,-4.42,37.15,0.43,0.37
,201%,10.43,26.34,6.26,-8.95,40.03,0.08,0.54
,164%,7.46,19.93,6.44,-2.89,41.06,0.03,0.11
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
116%,144%, -   ,12.08,4.27,0.9,30.55,,
126%,151%, -   ,12.43,5.68,1.79,43.49,0.42,
138%,135%, -   ,9.92,6.77,3.99,55.25,0.27,0.81
135%,136%, -   ,12.43,7.88,2.05,66.9,0.21,0.54
63%,61%, -   ,7.98,3.53,-4.51,30,-0.55,-0.46
57%,65%, -   ,8.12,3.44,-2.59,29.48,-0.02,-0.56
90%,93%, -   ,15.41,3.93,0.87,38.52,0.31,0.28
96%,95%, -   ,7.45,3.63,1.31,41.06,0.07,0.39
74%,78%, -   ,6.12,2.73,0.76,34.7,-0.15,-0.1
116%,124%, -   ,10.53,4.77,0.9,66.37,0.91,0.62
108%,119%, -   ,10.63,4.74,0.73,68.43,0.03,0.97
146%,162%, -   ,39.29,5.3,4.34,80.54,0.18,0.21
243%,148%, -   ,9.22,4.93,-0.03,86.41,0.07,0.26
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
111%,120%,67.92,16.33,2.99,2.43,32.5,,
99%,136%,77.28,96.5,2.96,22.55,30.88,-0.05,
108%,126%,81.26,22.56,2.91,-35.73,29.55,-0.04,-0.09
87%,108%,92.28,16.92,2.23,1.07,24.19,-0.18,-0.22
101%,109%,71.73,31.6,2.5,0.9,25.91,0.07,-0.12
88%,103%,65.5,17.59,2.31,1.04,22.51,-0.13,-0.07
119%,116%,54.24,17.52,3.15,0.95,29.08,0.29,0.12
117%,131%,62.01,26.13,3.84,1.15,33.44,0.15,0.49
116%,129%,68.19,21.79,4.35,0.8,34.65,0.04,0.19
141%,151%,69.99,22.78,6.27,0.7,46.93,0.35,0.4
129%,129%,77.37,23.9,7.75,0.28,47.08,0,0.36
104%,106%,102.27,19.87,7.24,0.4,40.94,-0.13,-0.13
119%,126%,84.82,24.35,9.24,6.72,51.86,0.27,0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,3.59,52.12,1.65,-1.92,13.03,,
,179%,3.1,9.45,3.05,0.16,19.93,0.53,
,625%,1.68,156.24,8.52,0.19,53.12,1.67,3.08
,407%,2.55,61.79,5.75,0.53,34.6,-0.35,0.74
183%,159%,6.66,19.1,2.55,0.76,15.09,-0.56,-0.72
182%,222%,12.92,32.49,4.34,3.96,25.34,0.68,-0.27
296%,445%,3.09,52.28,8.78,5.01,47.05,0.86,2.12
148%,261%,4.6,30.17,5.73,5.16,32.28,-0.31,0.27
156%,293%,4.96,36.53,7.27,2.2,40.91,0.27,-0.13
164%,281%,5.58,29.3,8.43,1.31,47.18,0.15,0.46
207%,313%,5.31,34.22,11.23,1,62.96,0.33,0.54
165%,172%,6.32,29.57,9.33,0.89,52.63,-0.16,0.12
163%,206%,6.45,38.04,11.6,12.22,66.95,0.27,0.06
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
129%,174%,19.31,30.02,1.65,0.34,19.36,,
121%,156%,22,15.98,1.83,0.37,19.18,-0.01,
169%,214%,13.45,24.42,3.49,-4.08,35.9,0.87,0.85
192%,175%,9.77,17.48,4.01,2.34,41.25,0.15,1.15
90%,82%,19.66,10.67,2.07,2.29,22.3,-0.46,-0.38
134%,112%,9.71,18.75,3.35,-3.35,36.37,0.63,-0.12
162%,137%,6.53,16.26,5.11,-109.08,55.78,0.53,1.5
136%,103%,7.79,12.04,4.58,3.62,51.51,-0.08,0.42
160%,111%,6.2,17.9,5.52,1.9,62.12,0.21,0.11
144%,100%,6.88,12.94,5.07,2.31,63.39,0.02,0.23
118%,107%,18.96,35.58,4.69,-0.88,60.13,-0.05,-0.03
126%,102%,28.86,18.67,6.29,0.16,56.01,-0.07,-0.12
197%,212%,12.82,43.52,9.45,0.12,84,0.5,0.4
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
100%,700%,114.37,-58.53,0.91,1.55,8.37,,
107%,747%,130.53,-168.49,1.2,-0.1,8.93,0.07,
118%,,125.17,-28.39,1.59,-0.74,9.88,0.11,0.18
,137%,219.79,8.14,0.95,-1.14,6.25,-0.37,-0.3
,126%,186.13,-7.82,1.06,-1.46,7.31,0.17,-0.26
,117%,145.64,10.29,1.23,-3.06,8.64,0.18,0.38
96%,134%,100.54,8.3,2.04,0.78,14.17,0.64,0.94
118%,150%,80.43,11.27,2.66,55.17,18.77,0.32,1.17
122%,131%,69.65,9.8,3.03,2.48,21.55,0.15,0.52
175%,171%,43.06,10.25,5.04,2.5,36.69,0.7,0.95
198%,194%,27.96,13.52,7.86,1.82,59.76,0.63,1.77
186%,183%,22.43,12.27,10.08,3.19,80.51,0.35,1.19
144%,146%,25.66,11.59,10.2,34.7,82.75,0.03,0.38
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
81%,121%, -   ,11.39,35.32,0.46,51.72,,
75%,117%, -   ,20.48,34.93,0.74,54.07,0.05,
84%,103%, -   ,8.3,40.5,1.99,65.11,0.2,0.26
68%,69%, -   ,6.72,29.41,46.02,52.23,-0.2,-0.03
48%,36%, -   ,-10.71,17.56,-0.6,32.76,-0.37,-0.5
47%,41%, -   ,19.01,16.13,-0.54,30.04,-0.08,-0.42
68%,84%, -   ,18.64,16.99,-2.87,31.88,0.06,-0.03
72%,85%, -   ,18.27,13.73,-1.31,27.41,-0.14,-0.09
116%,118%, -   ,8.58,19.24,-2.03,40.17,0.47,0.26
141%,125%, -   ,11.34,24.49,-4.15,54.54,0.36,0.99
160%,117%, -   ,11.2,29.36,-0.53,70.25,0.29,0.75
128%,100%, -   ,12.3,23.66,-0.55,62.09,-0.12,0.14
137%,105%, -   ,19.56,26.65,"2,414.75",72.38,0.17,0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
